avl_tree_height,rb_tree_height,logN,1.45logN
24,24,19.930250787092675,28.89886364128438
24,25,19.931440163751404,28.900588237439536
24,24,19.93068248251257,28.899489599643225
24,24,19.931193419841996,28.900230458770892
24,24,19.931233825242874,28.900289046602165
23,24,19.930962510125656,28.8998956396822
24,24,19.930708466743766,28.89952727677846
24,25,19.930308546473444,28.898947392386493
24,24,19.930328761710413,28.8989767044801
24,24,19.931105389871767,28.90010281531406
